reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,sortOrder,appId
b4d01c38-0ca1-48da-8ddc-21264eed12dc,James Hellriegel Jr.,https://play-lh.googleusercontent.com/a-/ALV-UjV6CElK9Om-oMAV3MicQSfawHJYrI3oNyjjFgRdvx5wTbz7R4JVYw,A decent app but the newer versions have bugs with Android's storage access framework that haven't been addressed in over a year so my rating will reflect that.,1,5,3.28.0,,,most_relevant,com.nextcloud.client
d881773d-8cde-4120-be9e-ec2b708eb549,Obrad Kostadinovic,https://play-lh.googleusercontent.com/a-/ALV-UjVcubVR5_1t8bIhNIGZj49z2XpufCftpu36gYFl4sEzmFDaKFMv,"it's becoming slow, everything is slow, but we get 'ai'. guess it's time to find something else",1,0,3.29.0,,,most_relevant,com.nextcloud.client
703b4b68-df3e-41af-8f57-a17839fee044,Mark Medici,https://play-lh.googleusercontent.com/a/ACg8ocKyb4VtaAfv6iAQzZVwDjmb-_DeHgwzIL6p1SmCl6kOJ9qItr51=mo,can't connect android client to server and app constantly crashes.,1,0,3.28.2,,,most_relevant,com.nextcloud.client
be9f9ea4-cded-464f-8080-c1d5f7896c85,Lukas Knauer,https://play-lh.googleusercontent.com/a-/ALV-UjXu91oj3ilh5ObVhp9VRTljMm-LCt-NSg3w7azX15I88qLc6RyL,If the server is temporarily unreachable - why is all my locally synced data no longer to be found on my device?,1,0,3.28.0,,,most_relevant,com.nextcloud.client
3b0fd802-0fb2-4357-af40-13a4add1c967,Nima Najand,https://play-lh.googleusercontent.com/a-/ALV-UjWhly5TZ7Q7xxlDmKas0IryAu0QQ6eUXJ5YFAFZx0J9tHOPXSAT,"It's hard to complain about a free app, but one of the main reasons I install the app is for syncing my phone with Nextcloud. Most other features can be accessed directly from a browser so no need for an app. So when an update introduces a bug that breaks the sync feature, and the bug is reported a month ago with no response from developers and no fix issed for a month, it becomes a worthless app. If Nextcloud is serious about becoming a contender in this field,they need to address bugs <month.",1,25,3.26.0,,,most_relevant,com.nextcloud.client
97f826e5-b5ff-4f47-921c-93550ed97198,Abel Parada Millán,https://play-lh.googleusercontent.com/a-/ALV-UjUPNJcctbhK9zR8fqKpbe9qJt3KeCKmD6Yah8uZLJo7QR0h8SpQ,"I truly love NextCloud. I am a big fan and I will continue to use it. But as for the time of this review, the mobile app works terribly. It is not reliable. In my case, it stopped working out of the blue for no apparent reason and had to reinstall, starting the sync process again. Not to mention that configuring it is way harder than other clouds systems.",1,28,3.15.0,,,most_relevant,com.nextcloud.client
bdc1200a-f876-4ad0-9cc5-81b70b045d80,Mark Lin,https://play-lh.googleusercontent.com/a/ACg8ocIb0KQEPtShRLZQ1xFQQQjG1LE0xSl2Jn0xXm0BxwZ5fhKm8A=mo,"When atuoupload works, its fine. When it stops working, no errors are raised (even in the Dev version with logs enabled) so your backups may have stopped long before you notice. I had subfolders enabled so that it organizes my files on my remote server. Now that autoupload has stopped working, I havent been able to find a replacement app that does the same thing with similar directory structure. Would not recommend this app or disabling subfolders incase you want to switch to something else",1,17,3.24.2,,,most_relevant,com.nextcloud.client
d31bd4f7-98b7-4299-9c90-269a45118202,Melanie Corr,https://play-lh.googleusercontent.com/a-/ALV-UjUoB4jjuWW2nHnxspr7GbqaitHg-9ciAu8reOAZ1x7GXxa1ElRj,Unfortunately had to delete and abandon. Chronic issues with file conflicts that just make no sense. No clear resolution. I have experienced everything outlined in the other one star reviews. I'll continue to use the desktop site but have been trying to migrate fully from gdrive since February and this doesn't look like a stable or reliable alternative for photos and notes on a mobile client.,1,0,,,,most_relevant,com.nextcloud.client
4c4a5410-6b46-4eea-a162-b63e0cbc7cdd,Dan Pederson,https://play-lh.googleusercontent.com/a/ACg8ocJk-ZzdstzpdIepBqHe8h82kdEr60Z4iCc2Ovcyh0ckXsjpAw=mo,"Why is syncing so broken on this app? If I do work locally on an android device, nothing will sync. The app doesn't watch folders unless the app is refreshed in memory. If I open the app to manually sync the folder, my local version that I worked on is wiped out with the server side version and work is lost! What a horrible implementation. Do I really have to find a different sync solution away from the service that markets itself as a self hosted cloud solution? Get out of here! Fix your mess!",1,17,3.23.1,,,most_relevant,com.nextcloud.client
901b8a13-6243-4948-80df-4d36796aa733,Mario Uganda,https://play-lh.googleusercontent.com/a-/ALV-UjVbVyS29TLPgoV1h7QVUGigwMwGYoxURCYhaDMEJTobdn6w4sZ0,"I set up a Nextcloud instance for my group of friends and after a while we found that the app is unusable. We only use the mobile site now. The main problems are 4: it would often remain stuck in loading loops, slower than the mobile site, MISSING DOWNLOAD FUNCTION, and the auto upload stopped working or never worked in the first place. The fact that there is not a button that you press and a file is downloaded on your phone is ridiculous for a cloud file manager app, it is the whole point!",1,4,3.19.1,,,most_relevant,com.nextcloud.client
b9a133ee-da62-4436-93f8-89575235faa9,Val Bon,https://play-lh.googleusercontent.com/a/ACg8ocIuSRdbzixboi4yK8CjZSvy7YP7Ut70-ah3tlIIJrOgtngQaQ=mo,"Unfortunately, app neither working at all, nor I recommend it. Many bugs using it, non stop downloading issues and blocked me access to content on my phone. Last but not least, while on a world tour, I missed paying two months as my credit card perished. The choice made by the team was to delete all my data! All the photos I had taken for a one-year trip went away... Awful. It was my fault not to have change the credit cart ID but they could have charge me instead for the delay...",1,7,3.23.1,,,most_relevant,com.nextcloud.client
c1679100-26fd-4253-9203-7895940fa819,p5lq6x5aoftv2tP6 shNaLOswolk0u,https://play-lh.googleusercontent.com/a/ACg8ocKPSygr9d6nz87NdMK9ID7F7KDwfPb-BvtyUGLtxyel7NdhNA=mo,"Media is completely useless. Not scanning all pictures, scanning pictures outside the Photos folder ignoring .nomedia files. Media photos not sorted by time, just completely random. So many more bugs. And all of that is known and issues on Github exist. If it takes 5 years to develop, finish and polish the Photos/Media app then don't release it 5 years too early! Stop releasing unfinished features!",1,19,3.15.0,,,most_relevant,com.nextcloud.client
1d8ef61b-161f-4d92-914b-b0d0181f87f8,Tessa Brown,https://play-lh.googleusercontent.com/a/ACg8ocLhVR90S0rnSH_eihLmrGrKljiE4b47FPDD8TOtTDIzRbVj1g=mo,"Terrible, way too much effort to get photos off of it.",1,0,3.28.0,,,most_relevant,com.nextcloud.client
883bc5c5-90f2-47e7-a6eb-3af0ba96b27a,Max Willimzik,https://play-lh.googleusercontent.com/a/ACg8ocJrie-dkGi54VIJDw5Cyk16BGojw31JHPmV5BYmA0ECSVDUwg=mo,"Great App, but does not work on android 14/oneUI 6 after Update.",1,0,3.28.0,,,most_relevant,com.nextcloud.client
9313a519-4262-4233-a30f-8644dbae18f4,Mark De Guzman,https://play-lh.googleusercontent.com/a/ACg8ocIPyfF-e1Ec16SIMdYuC6IgOuAkuU_op1mSslXw26RgJkO8-w=mo,Too slow and even kilobites files are very hard to upload,1,1,3.28.0,,,most_relevant,com.nextcloud.client
236e5a25-d22d-45fd-a712-cfec05e0dea4,A Y,https://play-lh.googleusercontent.com/a/ACg8ocJFS_80TQO5_B0FzjikJFIP0LRpMBAh2YaI4CbmkdwFMpbLzg=mo,SMB external shares through either docker or vm are absolute trash. how is it that at this stage in the game you guys cant get attached storage performing correctly why does adding storage need to be a three day attempt at looking at scripting? why?,1,0,3.27.0,,,most_relevant,com.nextcloud.client
6deb84b3-b0ff-46f7-8624-3f2a8e37da8a,Abhishek Shrestha,https://play-lh.googleusercontent.com/a-/ALV-UjUsz5TRYbcQmFyoG4ZgEdqHZZy75c5kv8dR6qA9JO-_i5OcbvIGyw,"Tried installing 2 different cloud office software, both failed miserably on my unraid nas, then the nextcloud docker instance became painfully slow. Uninstalled.",1,0,3.27.0,,,most_relevant,com.nextcloud.client
